session_test_id,age,gender,num_mushra,num_spatial,session_uuid,trial_id,rating_stimulus,rating_score,rating_time,rating_comment
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,two_speakers_anech,Param2,100,166545,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,two_speakers_anech,Harpex,100,166545,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,"drums saw_medrev",Harpex,69,202017,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,"drums saw_medrev",FOA-Amb-Param1,100,202017,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,"drums saw_medrev",reference,100,202017,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,"drums saw_medrev",Param1,31,202017,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,"drums saw_medrev",FOA,42,202017,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,"drums saw_medrev",Mono,0,202017,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,"drums saw_medrev",Param2,59,202017,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,"drums saw_medrev",FOA-Amb-Param2,80,202017,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,two_speakers_strongrev,Mono,0,188693,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,two_speakers_strongrev,Harpex,100,188693,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,two_speakers_strongrev,Param2,73,188693,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,two_speakers_strongrev,Param1,91,188693,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,two_speakers_strongrev,FOA-Amb-Param2,100,188693,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,two_speakers_strongrev,FOA,100,188693,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,two_speakers_strongrev,reference,94,188693,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,two_speakers_strongrev,FOA-Amb-Param1,100,188693,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,string_quartet_medrev,FOA,100,113240,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,string_quartet_medrev,reference,100,113240,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,string_quartet_medrev,Harpex,75,113240,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,string_quartet_medrev,FOA-Amb-Param2,100,113240,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,string_quartet_medrev,FOA-Amb-Param1,100,113240,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,string_quartet_medrev,Param1,100,113240,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,string_quartet_medrev,Param2,93,113240,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,string_quartet_medrev,Mono,0,113240,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,pink_noise_anech,FOA-Amb-Param2,100,90018,
